time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
1,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1,1,132.764,131.946,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1,2,101.688,100.87,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1,3,114.45,113.632,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1,4,103.067,102.248,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1,5,112.874,112.055,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1,6,122.206,121.388,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1,7,145.576,144.758,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1,8,139.507,138.689,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1,9,112.902,112.084,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1,10,130.095,129.277,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
1.5,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1.5,1,132.764,131.536,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1.5,2,101.688,100.461,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1.5,3,114.45,113.223,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1.5,4,103.067,101.839,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1.5,5,112.874,111.646,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1.5,6,122.206,120.979,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1.5,7,145.576,144.349,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1.5,8,139.507,138.279,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1.5,9,112.902,111.675,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1.5,10,130.095,128.868,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
