time,node_id,is_mpr,one_hop_neighbors,sym_one_hop_neighbors,two_hop_neighbors,sym_two_hop_neighbors,mpr_set_size,mpr_selector_set_size,mpr_changes,olsr_hello_sent,olsr_hello_received,olsr_tc_generated,olsr_tc_retransmitted,olsr_tc_recved
1,0,0,4,4,0,0,0,0,0,2,8,0,0,0
1,1,0,2,2,0,0,0,0,0,2,4,0,0,0
1,2,0,3,3,0,0,0,0,0,2,6,0,0,0
1,3,0,4,4,0,0,0,0,0,2,8,0,0,0
1,4,0,1,1,0,0,0,0,0,2,2,0,0,0
1,5,0,4,4,0,0,0,0,0,2,8,0,0,0
1,6,0,4,4,0,0,0,0,0,2,8,0,0,0
1,7,0,5,5,0,0,0,0,0,2,10,0,0,0
1,8,0,2,2,0,0,0,0,0,2,4,0,0,0
1,9,0,4,4,0,0,0,0,0,2,8,0,0,0
1,10,0,3,3,0,0,0,0,0,2,6,0,0,0
1.5,0,0,4,4,6,6,3,0,5,1,4,0,0,0
1.5,1,0,2,2,2,2,1,0,1,1,2,0,0,0
1.5,2,0,3,3,2,2,1,0,3,1,3,0,0,0
1.5,3,0,4,4,3,3,2,0,4,1,4,0,0,0
1.5,4,0,1,1,3,3,1,0,1,1,1,0,0,0
1.5,5,0,4,4,3,3,2,0,2,1,4,0,0,0
1.5,6,0,4,4,1,1,1,0,1,1,2,0,0,0
1.5,7,0,5,5,0,0,0,0,0,1,3,0,0,0
1.5,8,0,2,2,3,3,1,0,1,1,1,0,0,0
1.5,9,0,4,4,1,1,1,0,1,1,4,0,0,0
1.5,10,0,3,3,2,2,1,0,3,1,2,0,0,0
2,0,1,4,4,6,6,3,2,0,1,4,0,0,0
2,1,0,2,2,2,2,1,0,0,1,2,0,0,0
2,2,1,3,3,2,2,1,1,0,1,3,0,0,0
2,3,1,4,4,3,3,2,4,0,1,4,0,0,0
2,4,0,1,1,3,3,1,0,0,1,1,0,0,0
2,5,1,4,4,3,3,2,2,0,1,4,0,0,0
2,6,1,4,4,3,3,2,1,1,1,4,0,0,0
2,7,1,5,5,2,2,1,4,5,1,5,0,0,0
2,8,0,2,2,3,3,1,0,0,1,2,0,0,0
2,9,0,4,4,1,1,1,0,0,1,4,0,0,0
2,10,0,3,3,2,2,1,0,0,1,3,0,0,0
2.5,0,1,4,4,6,6,3,4,0,1,4,0,0,0
2.5,1,0,2,2,2,2,1,0,0,1,2,0,0,0
2.5,2,1,3,3,2,2,1,1,0,1,3,0,0,0
2.5,3,1,4,4,3,3,2,4,0,1,4,0,0,0
2.5,4,0,1,1,3,3,1,0,0,1,1,0,0,0
2.5,5,1,4,4,3,3,2,2,0,1,4,0,0,0
2.5,6,1,4,4,3,3,2,1,0,1,4,0,0,0
2.5,7,1,5,5,2,2,1,4,0,1,5,0,0,0
2.5,8,0,2,2,3,3,1,0,0,1,2,0,0,0
2.5,9,0,4,4,1,1,1,0,0,1,4,0,0,0
2.5,10,0,3,3,2,2,1,0,0,1,3,0,0,0
3,0,1,4,4,6,6,3,4,0,1,4,1,0,0
3,1,0,2,2,2,2,1,0,0,1,2,0,0,0
3,2,1,3,3,2,2,1,1,0,1,3,1,0,0
3,3,1,4,4,3,3,2,4,0,1,4,1,0,0
3,4,0,1,1,3,3,1,0,0,1,1,0,0,0
3,5,1,4,4,3,3,2,2,0,1,4,1,0,0
3,6,1,4,4,3,3,2,1,0,1,4,1,0,0
3,7,1,5,5,2,2,1,4,0,1,5,1,0,0
3,8,0,2,2,3,3,1,0,0,1,2,0,0,0
3,9,0,4,4,1,1,1,0,0,1,4,0,0,0
3,10,0,3,3,2,2,1,0,0,1,3,0,0,0
3.5,0,1,4,4,6,6,3,4,0,1,4,0,5,5
3.5,1,0,2,2,2,2,1,0,0,1,2,0,0,6
3.5,2,1,3,3,2,2,1,1,0,1,3,0,3,5
3.5,3,1,4,4,3,3,2,4,0,1,4,0,5,5
3.5,4,0,1,1,3,3,1,0,0,1,1,0,0,6
3.5,5,1,4,4,3,3,2,2,0,1,4,0,3,5
3.5,6,1,4,4,3,3,2,1,0,1,4,0,0,5
3.5,7,1,5,5,2,2,1,4,0,1,5,0,5,5
3.5,8,0,2,2,3,3,1,0,0,1,2,0,0,6
3.5,9,0,4,4,1,1,1,0,0,1,4,0,0,6
3.5,10,0,3,3,2,2,1,0,0,1,3,0,0,6
4,0,1,4,4,6,6,3,4,0,1,4,0,0,0
4,1,0,2,2,2,2,1,0,0,1,2,0,0,0
4,2,1,3,3,2,2,1,1,0,1,3,0,0,0
4,3,1,4,4,3,3,2,4,0,1,4,0,0,0
4,4,0,1,1,3,3,1,0,0,1,1,0,0,0
4,5,1,4,4,3,3,2,2,0,1,4,0,0,0
4,6,1,4,4,3,3,2,1,0,1,4,0,0,0
4,7,1,5,5,2,2,1,4,0,1,5,0,0,0
4,8,0,2,2,3,3,1,0,0,1,2,0,0,0
4,9,0,4,4,1,1,1,0,0,1,4,0,0,0
4,10,0,3,3,2,2,1,0,0,1,3,0,0,0
4.5,0,1,4,4,6,6,3,4,0,1,4,1,0,0
4.5,1,0,2,2,2,2,1,0,0,1,2,0,0,0
4.5,2,1,3,3,2,2,1,1,0,1,3,1,0,0
4.5,3,1,4,4,3,3,2,4,0,1,4,1,0,0
4.5,4,0,1,1,3,3,1,0,0,1,1,0,0,0
4.5,5,1,4,4,3,3,2,2,0,1,4,1,0,0
4.5,6,1,4,4,3,3,2,1,0,1,4,1,0,0
4.5,7,1,5,5,2,2,1,4,0,1,5,1,0,0
4.5,8,0,2,2,3,3,1,0,0,1,2,0,0,0
4.5,9,0,4,4,1,1,1,0,0,1,4,0,0,0
4.5,10,0,3,3,2,2,1,0,0,1,3,0,0,0
5,0,1,4,4,6,6,3,4,0,1,4,0,5,5
5,1,0,2,2,2,2,1,0,0,1,2,0,0,6
5,2,1,3,3,2,2,1,1,0,1,3,0,3,5
5,3,1,4,4,3,3,2,4,0,1,4,0,5,5
5,4,0,1,1,3,3,1,0,0,1,1,0,0,6
5,5,1,4,4,3,3,2,2,0,1,4,0,3,5
5,6,1,4,4,3,3,2,1,0,1,4,0,0,5
5,7,1,5,5,2,2,1,4,0,1,5,0,5,5
5,8,0,2,2,3,3,1,0,0,1,2,0,0,6
5,9,0,4,4,1,1,1,0,0,1,4,0,0,6
5,10,0,3,3,2,2,1,0,0,1,3,0,0,6
5.5,0,1,4,4,6,6,3,4,0,1,4,0,0,0
5.5,1,0,2,2,2,2,1,0,0,1,2,0,0,0
5.5,2,1,3,3,2,2,1,1,0,1,3,0,0,0
5.5,3,1,4,4,3,3,2,4,0,1,4,0,0,0
5.5,4,0,1,1,3,3,1,0,0,1,1,0,0,0
5.5,5,1,4,4,3,3,2,2,0,1,4,0,0,0
5.5,6,1,4,4,3,3,2,1,0,1,4,0,0,0
5.5,7,1,5,5,2,2,1,4,0,1,5,0,0,0
5.5,8,0,2,2,3,3,1,0,0,1,2,0,0,0
5.5,9,0,4,4,1,1,1,0,0,1,4,0,0,0
5.5,10,0,3,3,2,2,1,0,0,1,3,0,0,0
6,0,1,4,4,6,6,3,4,0,1,4,1,0,0
6,1,0,2,2,2,2,1,0,0,1,2,0,0,0
6,2,1,3,3,2,2,1,1,0,1,3,1,0,0
6,3,1,4,4,3,3,2,4,0,1,4,1,0,0
6,4,0,1,1,3,3,1,0,0,1,1,0,0,0
6,5,1,4,4,3,3,2,2,0,1,4,1,0,0
6,6,1,4,4,3,3,2,1,0,1,4,1,0,0
6,7,1,5,5,2,2,1,4,0,1,5,1,0,0
6,8,0,2,2,3,3,1,0,0,1,2,0,0,0
6,9,0,4,4,1,1,1,0,0,1,4,0,0,0
6,10,0,3,3,2,2,1,0,0,1,3,0,0,0
6.5,0,1,4,4,6,6,3,4,0,1,4,0,5,5
6.5,1,0,2,2,2,2,1,0,0,1,2,0,0,6
6.5,2,1,3,3,2,2,1,1,0,1,3,0,1,5
6.5,3,1,4,4,3,3,2,4,0,1,4,0,5,5
6.5,4,0,1,1,3,3,1,0,0,1,1,0,0,6
6.5,5,1,4,4,3,3,2,2,0,1,4,0,3,5
6.5,6,1,4,4,3,3,2,1,0,1,4,0,0,5
6.5,7,1,5,5,2,2,1,4,0,1,5,0,5,5
6.5,8,0,2,2,3,3,1,0,0,1,2,0,0,6
6.5,9,0,4,4,1,1,1,0,0,1,4,0,0,6
6.5,10,0,3,3,2,2,1,0,0,1,3,0,0,6
7,0,1,4,4,6,6,3,4,0,1,4,0,0,0
7,1,0,2,2,2,2,1,0,0,1,2,0,0,0
7,2,1,3,3,2,2,1,1,0,1,3,0,0,0
7,3,1,4,4,3,3,2,4,0,1,4,0,0,0
7,4,0,1,1,3,3,1,0,0,1,1,0,0,0
7,5,1,4,4,3,3,2,2,0,1,4,0,0,0
7,6,1,4,4,3,3,2,1,0,1,4,0,0,0
7,7,1,5,5,2,2,1,4,0,1,5,0,0,0
7,8,0,2,2,3,3,1,0,0,1,2,0,0,0
7,9,0,4,4,1,1,1,0,0,1,4,0,0,0
7,10,0,3,3,2,2,1,0,0,1,3,0,0,0
7.5,0,1,4,4,6,6,3,4,0,1,4,1,0,0
7.5,1,0,2,2,2,2,1,0,0,1,2,0,0,0
7.5,2,1,3,3,2,2,1,1,0,1,3,1,0,0
7.5,3,1,4,4,3,3,2,4,0,1,3,1,0,0
