window_start,window_end,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,DestinationRecvDataPkts,DestinationRecvDataBytes,throughput_bps,goodput_bps,ETX,PDR,LossRate
0.0,0.5,117,9828,114,9828,0.255,0.0,0.0,0.0,157248,0,0.0,0.0,1.0
0.5,1.0,125,15124,122,15124,0.282,0.009,0.0,0.0,241984,0,0.0,0.0,1.0
1.0,1.5,118,14760,115,14760,0.283,0.011,0.0,0.0,236160,0,0.0,0.0,1.0
1.5,2.0,126,15736,124,15736,0.285,0.012,0.0,0.0,251776,0,0.0,0.0,1.0
2.0,2.5,125,15620,123,15620,0.286,0.014,0.0,0.0,249920,0,0.0,0.0,1.0
2.5,3.0,123,15364,121,15364,0.283,0.012,0.0,0.0,245824,0,0.0,0.0,1.0
3.0,3.5,250,46672,247,46672,0.329,0.054,0.0,0.0,746752,0,0.0,0.0,1.0
3.5,4.0,135,17940,133,17940,0.292,0.027,0.0,0.0,287040,0,0.0,0.0,1.0
4.0,4.5,123,15420,121,15420,0.284,0.011,0.0,0.0,246720,0,0.0,0.0,1.0
4.5,5.0,328,53480,326,53480,0.312,0.051,0.0,0.0,855680,0,0.0,0.0,1.0
5.0,5.5,126,16184,124,16184,0.287,0.015,0.0,0.0,258944,0,0.0,0.0,1.0
5.5,6.0,124,15504,122,15504,0.286,0.011,0.0,0.0,248064,0,0.0,0.0,1.0
6.0,6.5,312,50400,309,50400,0.31,0.042,0.0,0.0,806400,0,0.0,0.0,1.0
6.5,7.0,126,16208,124,16208,0.289,0.013,0.0,0.0,259328,0,0.0,0.0,1.0
7.0,7.5,124,15504,122,15504,0.284,0.011,0.0,0.0,248064,0,0.0,0.0,1.0
7.5,8.0,297,50524,294,50524,0.317,0.043,0.0,0.0,808384,0,0.0,0.0,1.0
8.0,8.5,125,15676,123,15676,0.284,0.012,0.0,0.0,250816,0,0.0,0.0,1.0
8.5,9.0,123,15372,121,15372,0.283,0.012,0.0,0.0,245952,0,0.0,0.0,1.0
9.0,9.5,287,42700,283,42700,0.301,0.033,0.0,0.0,683200,0,0.0,0.0,1.0
9.5,10.0,153,20100,151,20100,0.288,0.024,0.0,0.0,321600,0,0.0,0.0,1.0
10.0,10.5,120,15032,117,15032,0.285,0.035,0.0,0.0,240512,0,0.0,0.0,1.0
10.5,11.0,299,52212,298,52212,0.312,0.069,0.0,0.0,835392,0,0.0,0.0,1.0
11.0,11.5,127,15884,126,15884,0.287,0.034,0.0,0.0,254144,0,0.0,0.0,1.0
11.5,12.0,130,16320,128,16320,0.281,0.039,0.0,0.0,261120,0,0.0,0.0,1.0
12.0,12.5,292,48924,291,48924,0.308,0.071,0.0,0.0,782784,0,0.0,0.0,1.0
12.5,13.0,150,19056,149,19056,0.282,0.045,0.0,0.0,304896,0,0.0,0.0,1.0
13.0,13.5,135,17148,134,17148,0.287,0.034,0.0,0.0,274368,0,0.0,0.0,1.0
13.5,14.0,298,47692,296,47692,0.313,0.062,0.0,0.0,763072,0,0.0,0.0,1.0
14.0,14.5,131,17528,130,17528,0.289,0.031,0.0,0.0,280448,0,0.0,0.0,1.0
14.5,15.0,128,16440,126,16440,0.291,0.028,0.0,0.0,263040,0,0.0,0.0,1.0
15.0,15.5,281,45676,280,45676,0.318,0.055,0.0,0.0,730816,0,0.0,0.0,1.0
15.5,16.0,137,18156,136,18156,0.279,0.041,0.0,0.0,290496,0,0.0,0.0,1.0
16.0,16.5,137,17620,136,17620,0.288,0.033,0.0,0.0,281920,0,0.0,0.0,1.0
16.5,17.0,232,39436,230,39436,0.322,0.066,0.0,0.0,630976,0,0.0,0.0,1.0
17.0,17.5,134,17376,132,17376,0.283,0.038,0.0,0.0,278016,0,0.0,0.0,1.0
17.5,18.0,145,19036,144,19036,0.294,0.024,0.0,0.0,304576,0,0.0,0.0,1.0
18.0,18.5,273,48728,272,48728,0.335,0.077,0.0,0.0,779648,0,0.0,0.0,1.0
18.5,19.0,139,18348,138,18348,0.291,0.029,0.0,0.0,293568,0,0.0,0.0,1.0
19.0,19.5,138,18184,137,18184,0.283,0.038,0.0,0.0,290944,0,0.0,0.0,1.0
19.5,20.0,290,47428,289,47428,0.316,0.063,0.0,0.0,758848,0,0.0,0.0,1.0
20.0,20.5,143,18840,141,18840,0.278,0.054,0.0,0.0,301440,0,0.0,0.0,1.0
20.5,21.0,149,19572,148,19572,0.285,0.036,0.0,0.0,313152,0,0.0,0.0,1.0
21.0,21.5,274,54644,273,54644,0.349,0.084,0.0,0.0,874304,0,0.0,0.0,1.0
21.5,22.0,157,20820,156,20820,0.296,0.019,0.0,0.0,333120,0,0.0,0.0,1.0
22.0,22.5,156,20936,154,20936,0.304,0.038,0.0,0.0,334976,0,0.0,0.0,1.0
22.5,23.0,298,58160,297,58160,0.338,0.061,0.0,0.0,930560,0,0.0,0.0,1.0
23.0,23.5,161,21796,161,21796,0.283,0.037,0.0,0.0,348736,0,0.0,0.0,1.0
23.5,24.0,164,22448,164,22448,0.296,0.02,0.0,0.0,359168,0,0.0,0.0,1.0
24.0,24.5,395,78988,395,78988,0.336,0.111,0.0,0.0,1263808,0,0.0,0.0,1.0
24.5,25.0,154,21120,153,21120,0.287,0.034,0.0,0.0,337920,0,0.0,0.0,1.0
25.0,25.5,170,23360,169,23360,0.296,0.043,0.0,0.0,373760,0,0.0,0.0,1.0
25.5,26.0,433,89128,431,89128,0.342,0.089,0.0,0.0,1426048,0,0.0,0.0,1.0
26.0,26.5,165,22812,164,22812,0.301,0.038,0.0,0.0,364992,0,0.0,0.0,1.0
26.5,27.0,184,25584,184,25584,0.289,0.032,0.0,0.0,409344,0,0.0,0.0,1.0
27.0,27.5,338,65688,338,65688,0.349,0.075,0.0,0.0,1051008,0,0.0,0.0,1.0
27.5,28.0,174,24752,174,24752,0.297,0.037,0.0,0.0,396032,0,0.0,0.0,1.0
28.0,28.5,176,24840,176,24840,0.293,0.047,0.0,0.0,397440,0,0.0,0.0,1.0
28.5,29.0,431,96792,430,96792,0.354,0.086,0.0,0.0,1548672,0,0.0,0.0,1.0
29.0,29.5,183,26348,183,26348,0.295,0.022,0.0,0.0,421568,0,0.0,0.0,1.0
