time,node_id,neighbor_id,distance_m,symmetrical_link
1,0,3,222,1
1,0,18,238,1
1,1,2,206,1
1,1,5,222,1
1,2,5,222,1
1,2,1,222,1
1,3,27,224,1
1,3,0,219,1
1,4,27,224,1
1,4,20,149,1
1,5,26,198,0
1,5,2,206,1
1,5,1,222,1
1,6,7,208,1
1,6,29,218,1
1,6,10,238,1
1,6,14,201,1
1,7,28,234,1
1,7,9,216,1
1,7,17,217,1
1,7,15,222,1
1,7,29,218,1
1,7,10,238,1
1,7,14,201,1
1,7,6,164,1
1,8,11,220,1
1,8,9,216,1
1,8,15,222,1
1,8,25,243,1
1,8,16,216,1
1,8,21,161,1
1,9,28,234,1
1,9,7,208,1
1,9,15,222,1
1,9,16,216,1
1,9,8,243,1
1,9,17,217,1
1,10,28,234,1
1,10,7,208,1
1,10,29,218,1
1,10,14,201,1
1,10,6,164,1
1,10,17,217,1
1,10,18,238,1
1,11,25,243,1
1,11,16,216,1
1,11,21,161,1
1,11,8,243,1
1,12,25,243,1
1,12,24,208,1
1,13,30,224,1
1,13,19,208,1
1,13,24,208,1
1,14,28,234,1
1,14,7,208,1
1,14,29,218,1
1,14,10,238,1
1,14,6,164,1
1,14,17,217,1
1,14,18,238,1
1,15,28,234,1
1,15,7,208,1
1,15,9,216,1
1,15,16,216,1
1,15,8,243,1
1,15,17,217,1
1,16,11,220,1
1,16,9,216,1
1,16,15,222,1
1,16,25,243,1
1,16,21,161,1
1,16,8,243,1
1,17,28,234,0
1,17,7,208,1
1,17,9,216,0
1,17,15,222,0
1,17,10,238,0
1,17,14,201,0
1,18,28,234,0
1,18,29,218,0
1,18,0,219,0
1,18,10,238,0
1,18,14,201,0
1,19,30,224,1
1,19,13,184,1
1,19,24,208,1
1,20,4,143,1
1,20,27,224,1
1,21,11,220,1
1,21,25,243,1
1,21,16,216,1
1,21,8,243,1
1,24,30,224,1
1,24,13,184,1
1,24,19,208,1
1,24,12,184,1
1,25,11,220,1
1,25,16,216,1
1,25,21,161,1
1,25,8,243,1
1,25,12,184,0
1,26,5,222,1
1,27,30,224,1
1,27,4,143,1
1,27,3,222,1
1,27,20,149,1
1,28,7,208,1
1,28,9,216,1
1,28,15,222,1
1,28,29,218,1
1,28,10,238,1
1,28,14,201,1
1,28,17,217,1
1,28,18,238,1
1,29,28,234,1
1,29,7,208,1
1,29,10,238,1
1,29,14,201,1
1,29,6,164,1
1,29,18,238,1
1,30,13,184,1
1,30,19,208,1
1,30,27,224,1
1,30,24,208,1
1.5,0,3,222,1
1.5,0,18,238,1
1.5,1,2,50,1
1.5,1,5,222,1
1.5,2,5,222,1
1.5,2,1,222,1
1.5,3,27,224,1
1.5,3,0,219,1
1.5,4,27,224,1
1.5,4,20,149,1
1.5,5,2,50,1
1.5,5,1,222,1
1.5,5,26,198,1
1.5,6,7,208,1
1.5,6,29,218,1
1.5,6,10,238,1
1.5,6,14,201,1
1.5,7,28,234,1
1.5,7,9,208,1
1.5,7,17,217,1
1.5,7,15,222,1
1.5,7,29,218,1
1.5,7,10,238,1
1.5,7,14,201,1
1.5,7,6,164,1
1.5,8,11,220,1
1.5,8,9,208,1
1.5,8,15,222,1
1.5,8,25,243,1
1.5,8,16,216,1
1.5,8,21,161,1
1.5,9,28,234,1
1.5,9,7,208,1
1.5,9,15,222,1
1.5,9,16,216,1
1.5,9,8,243,1
1.5,9,17,217,1
1.5,10,28,234,1
1.5,10,7,208,1
1.5,10,29,218,1
1.5,10,14,201,1
1.5,10,6,164,1
1.5,10,17,217,1
1.5,10,18,238,1
1.5,11,25,243,1
1.5,11,16,216,1
1.5,11,21,161,1
1.5,11,8,243,1
1.5,12,25,243,1
1.5,12,24,208,1
1.5,13,30,224,1
1.5,13,19,208,1
1.5,13,24,208,1
1.5,14,28,234,1
1.5,14,7,208,1
1.5,14,29,218,1
1.5,14,10,238,1
1.5,14,6,164,1
1.5,14,17,217,1
1.5,14,18,238,1
1.5,15,28,234,1
1.5,15,7,208,1
1.5,15,9,208,1
1.5,15,16,216,1
1.5,15,8,243,1
1.5,15,17,217,1
1.5,16,11,220,1
1.5,16,9,208,1
1.5,16,15,222,1
1.5,16,25,243,1
1.5,16,21,161,1
1.5,16,8,243,1
1.5,17,28,234,1
1.5,17,7,208,1
1.5,17,9,208,1
1.5,17,15,222,1
1.5,17,10,238,1
1.5,17,14,201,1
1.5,18,28,234,1
1.5,18,29,218,1
1.5,18,0,219,1
1.5,18,10,238,1
1.5,18,14,201,1
1.5,19,30,224,1
1.5,19,13,184,1
1.5,19,24,208,1
1.5,20,4,143,1
1.5,20,27,224,1
1.5,21,11,220,1
1.5,21,25,243,1
1.5,21,16,216,1
1.5,21,8,243,1
1.5,24,30,224,1
1.5,24,13,184,1
1.5,24,19,208,1
1.5,24,12,184,1
1.5,25,11,220,1
1.5,25,16,216,1
1.5,25,21,161,1
1.5,25,8,243,1
1.5,25,12,184,1
1.5,26,5,222,1
1.5,27,30,224,1
1.5,27,4,143,1
1.5,27,3,222,1
1.5,27,20,149,1
1.5,28,7,208,1
1.5,28,9,208,1
1.5,28,15,222,1
1.5,28,29,218,1
1.5,28,10,238,1
1.5,28,14,201,1
1.5,28,17,217,1
1.5,28,18,238,1
1.5,29,28,234,1
1.5,29,7,208,1
1.5,29,10,238,1
1.5,29,14,201,1
1.5,29,6,164,1
1.5,29,18,238,1
1.5,30,13,184,1
1.5,30,19,208,1
1.5,30,27,224,1
1.5,30,24,208,1
2,0,3,222,1
2,0,18,238,1
2,1,2,206,1
2,1,5,222,1
2,2,5,222,1
2,2,1,222,1
2,3,27,224,1
2,3,0,219,1
2,4,27,224,1
2,4,20,149,1
2,5,2,206,1
2,5,1,222,1
2,5,26,198,1
2,6,7,208,1
2,6,29,218,1
2,6,10,238,1
2,6,14,201,1
2,7,28,234,1
2,7,9,216,1
2,7,17,217,1
2,7,15,222,1
2,7,29,218,1
2,7,10,238,1
2,7,14,201,1
2,7,6,164,1
2,8,11,220,1
