window_start,window_end,node_id,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,throughput_bps,DestinationRecvDataPkts,DestinationRecvDataBytes,goodput_bps
0.0,0.5,0,7,588,7.0,588.0,0.255,0.0,9408,0.0,0.0,0
0.0,0.5,1,3,252,3.0,252.0,0.255,0.001,4032,0.0,0.0,0
0.0,0.5,2,3,252,3.0,252.0,0.254,0.001,4032,0.0,0.0,0
0.0,0.5,3,6,504,6.0,504.0,0.255,0.0,8064,0.0,0.0,0
0.0,0.5,4,3,252,3.0,252.0,0.255,0.001,4032,0.0,0.0,0
0.0,0.5,5,5,420,5.0,420.0,0.255,0.0,6720,0.0,0.0,0
0.0,0.5,6,8,672,8.0,672.0,0.254,0.001,10752,0.0,0.0,0
0.0,0.5,7,10,840,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,8,10,840,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,9,11,924,11.0,924.0,0.255,0.0,14784,0.0,0.0,0
0.0,0.5,10,13,1092,12.0,1008.0,0.255,0.001,16128,0.0,0.0,0
0.0,0.5,11,7,588,7.0,588.0,0.255,0.001,9408,0.0,0.0,0
0.0,0.5,12,7,588,7.0,588.0,0.255,0.0,9408,0.0,0.0,0
0.0,0.5,13,4,336,4.0,336.0,0.254,0.001,5376,0.0,0.0,0
0.0,0.5,14,13,1092,13.0,1092.0,0.255,0.001,17472,0.0,0.0,0
0.0,0.5,15,12,1008,12.0,1008.0,0.255,0.0,16128,0.0,0.0,0
0.0,0.5,16,9,756,9.0,756.0,0.254,0.0,12096,0.0,0.0,0
0.0,0.5,17,8,672,8.0,672.0,0.255,0.0,10752,0.0,0.0,0
0.0,0.5,18,11,924,11.0,924.0,0.255,0.001,14784,0.0,0.0,0
0.0,0.5,19,4,336,4.0,336.0,0.255,0.001,5376,0.0,0.0,0
0.0,0.5,20,2,168,2.0,168.0,0.255,0.0,2688,0.0,0.0,0
0.0,0.5,21,7,588,7.0,588.0,0.255,0.001,9408,0.0,0.0,0
0.0,0.5,22,1,84,3.0,252.0,0.254,0.001,4032,0.0,0.0,0
0.0,0.5,23,1,84,0.0,0.0,0.0,0.0,0,0.0,0.0,0
0.0,0.5,24,8,672,8.0,672.0,0.255,0.0,10752,0.0,0.0,0
0.0,0.5,25,10,840,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,26,2,168,2.0,168.0,0.254,0.001,2688,0.0,0.0,0
0.0,0.5,27,6,504,6.0,504.0,0.255,0.0,8064,0.0,0.0,0
0.0,0.5,28,13,1092,13.0,1092.0,0.255,0.0,17472,0.0,0.0,0
0.0,0.5,29,9,756,9.0,756.0,0.254,0.0,12096,0.0,0.0,0
0.0,0.5,30,6,504,6.0,504.0,0.255,0.001,8064,0.0,0.0,0
0.0,0.5,31,9,756,9.0,756.0,0.255,0.001,12096,0.0,0.0,0
0.0,0.5,32,3,252,3.0,252.0,0.255,0.001,4032,0.0,0.0,0
0.0,0.5,33,8,672,6.0,504.0,0.254,0.001,8064,0.0,0.0,0
0.0,0.5,34,7,588,7.0,588.0,0.255,0.0,9408,0.0,0.0,0
0.0,0.5,35,12,1008,12.0,1008.0,0.255,0.001,16128,0.0,0.0,0
0.0,0.5,36,10,840,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,37,10,840,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,38,10,840,12.0,1008.0,0.255,0.0,16128,0.0,0.0,0
0.0,0.5,39,8,672,8.0,672.0,0.255,0.0,10752,0.0,0.0,0
0.0,0.5,40,7,588,7.0,588.0,0.255,0.0,9408,0.0,0.0,0
0.0,0.5,41,6,504,6.0,504.0,0.255,0.001,8064,0.0,0.0,0
0.0,0.5,42,5,420,5.0,420.0,0.255,0.0,6720,0.0,0.0,0
0.0,0.5,43,9,756,9.0,756.0,0.254,0.001,12096,0.0,0.0,0
0.0,0.5,44,2,168,1.0,84.0,0.255,0.0,1344,0.0,0.0,0
0.0,0.5,45,4,336,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,46,8,672,8.0,672.0,0.254,0.001,10752,0.0,0.0,0
0.0,0.5,47,6,504,6.0,504.0,0.255,0.0,8064,0.0,0.0,0
0.0,0.5,48,8,672,8.0,672.0,0.254,0.001,10752,0.0,0.0,0
0.0,0.5,49,9,756,9.0,756.0,0.255,0.001,12096,0.0,0.0,0
0.0,0.5,50,11,924,11.0,924.0,0.255,0.0,14784,0.0,0.0,0
0.5,1.0,0,7,980,7.0,1116.0,0.309,0.015,17856,0.0,0.0,0
0.5,1.0,1,3,324,3.0,348.0,0.278,0.007,5568,0.0,0.0,0
0.5,1.0,2,3,324,3.0,348.0,0.277,0.006,5568,0.0,0.0,0
0.5,1.0,3,6,792,4.0,608.0,0.304,0.015,9728,0.0,0.0,0
0.5,1.0,4,3,324,3.0,388.0,0.287,0.021,6208,0.0,0.0,0
0.5,1.0,5,5,620,5.0,564.0,0.275,0.008,9024,0.0,0.0,0
0.5,1.0,6,8,1184,7.0,1148.0,0.312,0.015,18368,0.0,0.0,0
0.5,1.0,7,10,1640,10.0,1656.0,0.313,0.013,26496,0.0,0.0,0
0.5,1.0,8,10,1640,10.0,1560.0,0.306,0.014,24960,0.0,0.0,0
0.5,1.0,9,11,1892,10.0,1600.0,0.309,0.014,25600,0.0,0.0,0
0.5,1.0,10,10,1800,13.0,2028.0,0.306,0.017,32448,0.0,0.0,0
0.5,1.0,11,5,700,7.0,1108.0,0.308,0.009,17728,0.0,0.0,0
0.5,1.0,12,7,980,5.0,788.0,0.308,0.01,12608,0.0,0.0,0
0.5,1.0,13,4,464,4.0,544.0,0.292,0.011,8704,0.0,0.0,0
0.5,1.0,14,13,2444,12.0,1920.0,0.309,0.013,30720,0.0,0.0,0
0.5,1.0,15,12,2160,11.0,1740.0,0.308,0.014,27840,0.0,0.0,0
0.5,1.0,16,9,1404,9.0,1444.0,0.31,0.011,23104,0.0,0.0,0
0.5,1.0,17,8,1184,8.0,1368.0,0.317,0.012,21888,0.0,0.0,0
0.5,1.0,18,11,1892,10.0,1600.0,0.309,0.016,25600,0.0,0.0,0
0.5,1.0,19,4,464,4.0,544.0,0.292,0.011,8704,0.0,0.0,0
0.5,1.0,20,2,200,2.0,240.0,0.28,0.012,3840,0.0,0.0,0
0.5,1.0,21,7,980,7.0,1108.0,0.308,0.01,17728,0.0,0.0,0
0.5,1.0,22,3,324,3.0,332.0,0.273,0.014,5312,0.0,0.0,0
0.5,1.0,23,1,84,0.0,0.0,0.0,0.0,0,0.0,0.0,0
0.5,1.0,24,5,740,8.0,1112.0,0.294,0.013,17792,0.0,0.0,0
0.5,1.0,25,10,1640,9.0,1420.0,0.308,0.011,22720,0.0,0.0,0
0.5,1.0,26,2,200,2.0,216.0,0.271,0.017,3456,0.0,0.0,0
0.5,1.0,27,4,528,6.0,776.0,0.287,0.016,12416,0.0,0.0,0
0.5,1.0,28,13,2444,11.0,1876.0,0.317,0.009,30016,0.0,0.0,0
0.5,1.0,29,9,1404,9.0,1500.0,0.314,0.015,24000,0.0,0.0,0
0.5,1.0,30,6,792,6.0,816.0,0.292,0.013,13056,0.0,0.0,0
0.5,1.0,31,6,936,9.0,1276.0,0.296,0.014,20416,0.0,0.0,0
0.5,1.0,32,3,324,3.0,420.0,0.294,0.027,6720,0.0,0.0,0
0.5,1.0,33,8,1056,8.0,1216.0,0.303,0.022,19456,0.0,0.0,0
0.5,1.0,34,7,980,6.0,984.0,0.313,0.01,15744,0.0,0.0,0
0.5,1.0,35,12,2160,12.0,1912.0,0.309,0.012,30592,0.0,0.0,0
0.5,1.0,36,10,1640,10.0,1688.0,0.316,0.013,27008,0.0,0.0,0
0.5,1.0,37,10,1640,9.0,1356.0,0.303,0.011,21696,0.0,0.0,0
0.5,1.0,38,12,2160,11.0,1700.0,0.305,0.016,27200,0.0,0.0,0
0.5,1.0,39,8,1184,8.0,1240.0,0.306,0.015,19840,0.0,0.0,0
0.5,1.0,40,7,980,7.0,1188.0,0.316,0.01,19008,0.0,0.0,0
0.5,1.0,41,6,792,6.0,928.0,0.305,0.017,14848,0.0,0.0,0
0.5,1.0,42,5,620,5.0,820.0,0.313,0.009,13120,0.0,0.0,0
0.5,1.0,43,9,1404,8.0,1264.0,0.308,0.014,20224,0.0,0.0,0
0.5,1.0,44,2,184,2.0,208.0,0.269,0.004,3328,0.0,0.0,0
0.5,1.0,45,4,464,4.0,472.0,0.278,0.009,7552,0.0,0.0,0
0.5,1.0,46,8,1184,8.0,1288.0,0.309,0.016,20608,0.0,0.0,0
0.5,1.0,47,6,792,6.0,872.0,0.299,0.019,13952,0.0,0.0,0
0.5,1.0,48,8,1184,7.0,972.0,0.294,0.014,15552,0.0,0.0,0
